ds,y,yhat_prophet,train
2016-07-18,587.141,555.336194433369,True
2016-07-19,530.891,553.3544916496394,True
2016-07-20,505.613,546.8030208774213,True
2016-07-21,544.427,557.3857582209944,True
2016-07-22,607.141,569.1135566673776,True
2016-07-23,582.999,550.2991269472865,True
2016-07-24,543.371,529.1538338931301,True
2016-07-25,590.779,557.6415515729891,True
2016-07-26,587.52,563.6453383721816,True
2016-07-27,589.46,569.681281528033,True
2016-07-28,601.925,569.8576850174928,True
2016-07-29,563.564,540.3867978574566,True
2016-07-30,510.075,511.2187728363929,True
2016-07-31,486.99,498.9176835323973,True
2016-08-01,513.018,528.1565423251266,True
2016-08-02,500.866,533.3873808116714,True
2016-08-03,497.819,531.192391711486,True
2016-08-04,514.677,535.2269287749577,True
2016-08-05,529.937,537.1026664275383,True
2016-08-06,522.041,517.1028520465726,True
2016-08-07,491.397,512.8351573396459,True
2016-08-08,529.878,545.1323076269861,True
2016-08-09,544.304,554.2308015390641,True
2016-08-10,590.829,562.7798697590817,True
2016-08-11,637.13,573.0445422687376,True
2016-08-12,638.311,561.4926791145539,True
2016-08-13,624.559,548.7726617758645,True
2016-08-14,602.839,535.6172206424657,True
2016-08-15,608.971,560.6773162408916,True
2016-08-16,614.121,565.5579863101676,True
2016-08-17,585.496,557.3094633805273,True
2016-08-18,560.358,549.6996973366648,True
2016-08-19,567.133,546.2086877653572,True
2016-08-20,527.145,504.1959868837266,True
2016-08-21,519.176,499.1246404866832,True
2016-08-22,492.386,516.0637067358588,True
2016-08-23,466.773,520.0382339754866,True
2016-08-24,510.908,534.1928853506195,True
2016-08-25,536.637,537.2578051865335,True
2016-08-26,581.314,543.8280597108196,True
2016-08-27,515.975,500.00457477728474,True
2016-08-28,512.84,487.1432419920889,True
2016-08-29,566.209,530.6902984678029,True
2016-08-30,528.483,518.859311681689,True
2016-08-31,542.407,527.3610522710568,True
2016-09-01,510.892,501.50522784293224,True
2016-09-02,467.223,493.82681104400905,True
2016-09-03,412.156,452.2969930504808,True
2016-09-04,401.914,447.44127241750317,True
2016-09-05,420.628,489.95578389444324,True
2016-09-06,490.74,501.8279691826425,True
2016-09-07,527.993,501.4828090793375,True
2016-09-08,568.431,511.35881949666714,True
2016-09-09,599.246,521.0298060950443,True
2016-09-10,557.47,477.94910514315313,True
2016-09-11,491.936,457.3404481444901,True
2016-09-12,454.555,461.9038867196905,True
2016-09-13,467.801,477.1415658654736,True
2016-09-14,495.513,489.5007481965678,True
2016-09-15,437.048,458.9753573458961,True
2016-09-16,423.33,449.7466213717882,True
2016-09-17,401.953,427.6299228269073,True
2016-09-18,445.858,440.2519675982909,True
2016-09-19,489.474,461.6272596838663,True
2016-09-20,491.56,475.4574002564811,True
2016-09-21,478.966,478.37150824829746,True
2016-09-22,472.94,472.49345660366964,True
2016-09-23,468.086,467.7397428234941,True
2016-09-24,388.671,403.88440284173066,True
2016-09-25,359.66,396.45342495800446,True
2016-09-26,401.55,434.02181659936565,True
2016-09-27,422.099,440.7451523287815,True
2016-09-28,413.241,429.40834676321424,True
2016-09-29,399.85,423.80263312738396,True
2016-09-30,392.972,418.55119923822247,True
2016-10-01,365.856,384.58776113851627,True
2016-10-02,359.654,374.00545316719416,True
2016-10-03,397.319,410.94099658083945,True
2016-10-04,398.828,412.38433261986376,True
2016-10-05,393.417,412.08075301178644,True
2016-10-06,398.486,412.5570826367601,True
2016-10-07,398.1,402.78615514116007,True
2016-10-08,370.246,366.07852124978297,True
2016-10-09,356.854,365.24019450246686,True
2016-10-10,379.096,406.22294602768636,True
2016-10-11,391.017,411.6922997422558,True
2016-10-12,390.505,397.40353535384213,True
2016-10-13,396.037,394.02286175899684,True
2016-10-14,386.188,402.21737744011796,True
2016-10-15,359.766,368.92586257232,True
2016-10-16,357.142,353.01209616067644,True
2016-10-17,409.711,401.7298101628177,True
2016-10-18,431.803,416.05148122570324,True
2016-10-19,435.466,420.3539497251576,True
2016-10-20,410.927,393.1445084454751,True
2016-10-21,416.925,389.83075155199833,True
2016-10-22,371.799,381.84675031467947,True
2016-10-23,357.818,363.1680497844811,True
2016-10-24,391.368,395.2599169686805,True
2016-10-25,399.909,426.3334061764444,True
2016-10-26,404.579,440.3294179067502,True
2016-10-27,420.778,434.74814090915044,True
2016-10-28,404.214,428.92764344611,True
2016-10-29,375.585,380.1687587741157,True
2016-10-30,363.289,355.5398163641984,True
2016-10-31,393.835,415.83713702976314,True
2016-11-01,402.778,419.2473488732993,True
2016-11-02,397.134,398.5268495087929,True
2016-11-03,400.371,393.62581822955553,True
2016-11-04,389.504,395.1344743050767,True
2016-11-05,367.629,372.2051340882048,True
2016-11-06,374.837,364.5513306310739,True
2016-11-07,402.093,417.9828654271337,True
2016-11-08,402.552,404.15133426627864,True
2016-11-09,406.541,396.6809132721048,True
2016-11-10,404.098,413.85125375843506,True
2016-11-11,397.814,399.29728565574044,True
2016-11-12,381.709,394.2834112030703,True
2016-11-13,370.297,362.29915418115525,True
2016-11-14,402.074,382.43776681151303,True
2016-11-15,409.366,405.23281952229354,True
2016-11-16,401.855,394.32139059521995,True
2016-11-17,400.388,388.843190201564,True
2016-11-18,396.888,384.0838287408035,True
2016-11-19,372.816,351.1128645337616,True
2016-11-20,393.76,395.25655236697514,True
2016-11-21,440.043,433.1593153307395,True
2016-11-22,437.46,440.60754895065133,True
2016-11-23,425.671,436.6375659873758,True
2016-11-24,381.73,419.3712686715183,True
2016-11-25,383.128,397.501046196023,True
2016-11-26,378.269,379.3315086349417,True
2016-11-27,382.926,381.8524689432664,True
2016-11-28,416.669,412.3474449398823,True
2016-11-29,419.725,384.1638692349061,True
2016-11-30,411.659,393.16440647219605,True
2016-12-01,411.145,408.83329427764403,True
2016-12-02,414.31,420.990997847082,True
2016-12-03,394.064,396.20464425561966,True
2016-12-04,389.792,397.81848895847804,True
2016-12-05,429.074,428.95379828647094,True
2016-12-06,429.869,442.9400607186676,True
2016-12-07,430.517,442.6072324109362,True
2016-12-08,434.438,405.59120452354256,True
2016-12-09,442.97,416.19696632054973,True
2016-12-10,425.403,444.6997838420849,True
2016-12-11,425.428,439.3723390156514,True
2016-12-12,445.048,441.48502462812843,True
2016-12-13,440.463,452.37848654151094,True
2016-12-14,446.628,458.38253909821526,True
2016-12-15,483.386,503.39957229264087,True
2016-12-16,492.062,505.9532410788172,True
2016-12-17,451.134,438.104038813867,True
2016-12-18,421.235,388.50656020512395,True
2016-12-19,472.53,485.79187653309924,True
2016-12-20,476.313,487.98931146809605,True
2016-12-21,457.457,458.1491937032645,True
2016-12-22,445.329,435.01224682229395,True
2016-12-23,427.625,426.1170737380511,True
2016-12-24,404.164,394.01952762875453,True
2016-12-25,381.176,385.10008692243207,True
2016-12-26,413.441,430.78699059103946,True
2016-12-27,414.248,389.3545015613309,True
2016-12-28,430.364,442.08479884558363,True
2016-12-29,439.63,435.0880372763505,True
2016-12-30,432.801,439.7988443531614,True
2016-12-31,415.51,402.541862780208,True
2017-01-01,385.761,374.7669053045568,True
2017-01-02,417.439,429.89493793641293,True
2017-01-03,434.149,430.8937479152037,True
2017-01-04,429.762,421.00011657219613,True
2017-01-05,459.228,467.7635961314017,True
2017-01-06,460.146,465.66995054759263,True
2017-01-07,455.787,461.75514766889796,True
2017-01-08,457.437,462.61634786133004,True
2017-01-09,493.903,501.42155325431884,True
2017-01-10,480.591,465.0666627049759,True
2017-01-11,433.669,414.7133007903752,True
2017-01-12,417.899,382.26303831100745,True
2017-01-13,420.592,415.5424482398951,True
2017-01-14,422.903,435.55647606899356,True
2017-01-15,409.086,419.15358704649026,True
2017-01-16,432.725,445.25041838700497,True
2017-01-17,437.963,442.3549108592105,True
2017-01-18,431.703,442.6796679691548,True
2017-01-19,424.35,431.6648865802717,True
2017-01-20,422.625,429.262403017837,True
2017-01-21,383.73,391.9943713854384,True
2017-01-22,378.915,380.65528753838686,True
2017-01-23,428.349,435.47122447817435,True
2017-01-24,442.037,452.4572742764114,True
2017-01-25,430.292,427.0287923496362,True
2017-01-26,424.921,410.9526643017058,True
2017-01-27,430.153,429.9351319434279,True
2017-01-28,409.87,413.33807691693653,True
2017-01-29,399.86,399.2520852300245,True
2017-01-30,443.417,452.18654653458003,True
2017-01-31,460.098,472.6118076751889,True
2017-02-01,440.904,430.5870500570823,True
2017-02-02,439.68,441.1821282572594,True
2017-02-03,450.588,465.6144212704269,True
2017-02-04,428.112,438.97920530715203,True
2017-02-05,413.851,401.4097044677333,True
2017-02-06,430.649,421.30590036629945,True
2017-02-07,440.033,440.85073814016675,True
2017-02-08,418.252,407.3824092711327,True
2017-02-09,449.346,477.0504523938839,True
2017-02-10,463.916,478.09571294940145,True
2017-02-11,415.569,400.0882334835594,True
2017-02-12,417.591,416.75949944048847,True
2017-02-13,445.859,448.8439875571084,True
2017-02-14,440.332,457.180833291482,True
2017-02-15,433.259,439.52739758939344,True
2017-02-16,444.204,466.8772509666589,True
2017-02-17,437.396,453.52989596140714,True
2017-02-18,388.87,370.04558845934946,True
2017-02-19,362.897,335.06469465305815,True
2017-02-20,390.397,406.13329313813676,True
2017-02-21,415.464,435.9885712093253,True
2017-02-22,401.542,408.1813825046648,True
2017-02-23,393.693,390.89750347480157,True
2017-02-24,386.338,369.42603233909085,True
2017-02-25,363.207,351.91887035298214,True
2017-02-26,379.389,398.3311290372028,True
2017-02-27,413.792,412.5012160318096,True
2017-02-28,402.941,394.2661887745455,True
2017-03-01,396.317,375.54360811313256,True
2017-03-02,408.448,412.5728831238085,True
2017-03-03,432.261,453.4148591508128,True
2017-03-04,430.211,452.3208240167803,True
2017-03-05,428.554,439.22503824092234,True
2017-03-06,436.103,436.5227307777097,True
2017-03-07,418.233,400.2908520207433,True
2017-03-08,396.676,375.75583324024615,True
2017-03-09,397.909,377.70602291662243,True
2017-03-10,429.682,438.6079557882594,True
2017-03-11,439.384,449.6167268108561,True
2017-03-12,415.508,431.11209418408146,True
2017-03-13,457.889,461.46904699812063,True
2017-03-14,448.541,463.6986469332432,True
2017-03-15,463.242,480.97756726877367,True
2017-03-16,452.114,453.51211072291864,True
2017-03-17,430.938,426.4175514171083,True
2017-03-18,410.421,402.09546792138434,True
2017-03-19,387.276,380.97190061921003,True
2017-03-20,416.922,408.0348476651667,True
2017-03-21,405.51,390.53911541632385,True
2017-03-22,424.074,441.9731920119691,True
2017-03-23,435.592,451.4861834028481,True
2017-03-24,420.495,399.3228334264821,True
2017-03-25,384.68,346.9423103887683,True
2017-03-26,384.954,385.9271782050502,True
2017-03-27,410.982,405.65974895445845,True
2017-03-28,410.567,417.05010374477945,True
2017-03-29,398.128,396.61737158429383,True
2017-03-30,405.791,414.6749456123724,True
2017-03-31,419.431,425.6297159743716,True
2017-04-01,388.613,387.42297746581613,True
2017-04-02,361.94,347.9052780707776,True
2017-04-03,391.158,373.8815201864642,True
2017-04-04,401.023,401.4451117820791,True
2017-04-05,395.653,393.2756930138883,True
2017-04-06,409.64,413.8010153929048,True
2017-04-07,407.942,403.67072969510065,True
2017-04-08,373.724,368.00227057745116,True
2017-04-09,351.42,341.2090080333208,True
2017-04-10,379.505,373.41815834711974,True
2017-04-11,383.173,380.1179813778672,True
2017-04-12,385.192,373.9093844426744,True
2017-04-13,377.039,377.01395564584476,True
2017-04-14,365.565,371.1993270877012,True
2017-04-15,345.772,334.87874790896353,True
2017-04-16,342.813,349.3687926102158,True
2017-04-17,379.092,366.94455821482427,True
2017-04-18,373.603,378.0970686730897,True
2017-04-19,383.193,399.94365273609685,True
2017-04-20,383.925,376.89756585618204,True
2017-04-21,382.336,386.5286885036012,True
2017-04-22,355.726,348.5076448364367,True
2017-04-23,339.792,340.6671656795527,True
2017-04-24,374.474,371.2824691334578,True
2017-04-25,385.557,388.9333748972931,True
2017-04-26,383.72,370.96989777184126,True
2017-04-27,387.814,366.2008140284845,True
2017-04-28,389.979,386.2104672102415,True
2017-04-29,374.355,363.1836801243423,True
2017-04-30,349.979,327.41194738156855,True
2017-05-01,383.681,375.7504756239619,True
2017-05-02,391.008,381.00022950193136,True
2017-05-03,377.49,367.57121461859913,True
2017-05-04,376.875,383.0474152180391,True
2017-05-05,386.073,375.0618404392279,True
2017-05-06,351.988,334.0932174325857,True
2017-05-07,344.812,351.43521906240727,True
2017-05-08,379.29,388.14654248546816,True
2017-05-09,381.089,389.72592508712216,True
2017-05-10,377.357,388.1647362622466,True
2017-05-11,375.081,387.88048953027464,True
2017-05-12,372.55,382.2612244900859,True
2017-05-13,352.759,369.3785529366112,True
2017-05-14,338.471,348.7151670506964,True
2017-05-15,375.654,373.9305903347614,True
2017-05-16,385.184,395.62842373306034,True
2017-05-17,429.737,423.7872931807636,True
2017-05-18,498.643,443.3512583798678,True
2017-05-19,498.557,433.4716918881825,True
2017-05-20,373.047,347.08802169289083,True
2017-05-21,347.059,347.10496656019717,True
2017-05-22,388.695,385.4588642947583,True
2017-05-23,387.526,390.104233208504,True
2017-05-24,390.62,391.64881930358547,True
2017-05-25,388.844,397.03862741491,True
2017-05-26,387.818,400.261137488614,True
2017-05-27,354.893,366.0408294468326,True
2017-05-28,348.534,358.2210128012524,True
2017-05-29,354.602,397.9176457753308,True
2017-05-30,385.611,407.3056190492782,True
2017-05-31,395.875,414.3990021547805,True
2017-06-01,405.039,425.60229080821694,True
2017-06-02,393.675,414.2187861181473,True
2017-06-03,355.993,382.9384926404104,True
2017-06-04,353.971,369.9279316488149,True
2017-06-05,397.414,407.0649335766332,True
2017-06-06,388.659,426.5523417422989,True
2017-06-07,381.752,423.8163134114661,True
2017-06-08,389.492,420.134281811351,True
2017-06-09,400.589,440.4296720489759,True
2017-06-10,407.963,424.9680057919754,True
2017-06-11,463.402,439.34997290446546,True
2017-06-12,562.5,483.3385428635676,True
2017-06-13,582.48,498.40793455676754,True
2017-06-14,514.145,460.6148394750724,True
2017-06-15,452.037,442.58968371551185,True
2017-06-16,440.352,426.7576642801214,True
2017-06-17,431.172,408.09932120950305,True
2017-06-18,477.574,430.4813157127185,True
2017-06-19,529.533,469.21282133562164,True
2017-06-20,499.75,473.4066765418992,True
2017-06-21,492.832,476.65303543302184,True
2017-06-22,491.996,475.3534145132726,True
2017-06-23,536.77,482.17533906106763,True
2017-06-24,488.578,448.39843709305393,True
2017-06-25,442.701,434.6149155851519,True
2017-06-26,456.698,458.9777306360738,True
2017-06-27,443.084,461.2130549221906,True
2017-06-28,439.912,467.40573312585263,True
2017-06-29,467.575,483.0263189503428,True
2017-06-30,514.942,497.2744816107982,True
2017-07-01,483.208,459.1291482770533,True
2017-07-02,478.109,463.5456204051486,True
2017-07-03,510.31,499.6077502422381,True
2017-07-04,455.404,499.6639813240773,True
2017-07-05,498.886,501.01843098318324,True
2017-07-06,493.236,491.60751248182635,True
2017-07-07,494.712,486.7364522345941,True
2017-07-08,469.574,471.6972860617814,True
2017-07-09,436.555,462.018684378153,True
2017-07-10,498.642,506.3643003684234,True
2017-07-11,544.725,525.3392944422706,True
2017-07-12,570.625,536.3422891907989,True
2017-07-13,568.623,536.5935059218741,True
2017-07-14,480.885,483.60757513781545,True
2017-07-15,452.994,478.2389047926925,True
2017-07-16,468.896,478.0367434790234,True
2017-07-17,538.225,520.1421436120768,True
2017-07-18,559.981,533.8363947561102,True
2017-07-19,588.676,548.600161321568,True
2017-07-20,598.203,549.9365590483976,True
2017-07-21,591.856,541.065769088878,True
2017-07-22,533.833,506.79222842265386,True
2017-07-23,486.244,470.08432259831585,True
2017-07-24,472.23,483.9454501910585,True
2017-07-25,429.179,487.03957449659333,True
2017-07-26,443.463,498.38234983685095,True
2017-07-27,465.144,505.1247185803512,True
2017-07-28,496.353,516.5017274265056,True
2017-07-29,417.648,468.0939988781405,True
2017-07-30,412.335,463.36558597596985,True
2017-07-31,500.149,513.7674397415963,True
2017-08-01,543.027,533.416050239601,True
2017-08-02,539.145,516.5926601431956,True
2017-08-03,535.088,518.2170253302578,True
2017-08-04,539.314,512.5235893239213,True
2017-08-05,460.515,472.7591715477479,True
2017-08-06,402.766,451.9316084439145,True
2017-08-07,439.653,478.5112431323517,True
2017-08-08,449.012,497.90605307464705,True
2017-08-09,474.575,509.3000106885633,True
2017-08-10,496.957,511.2924397731108,True
2017-08-11,486.447,503.7806030845077,True
2017-08-12,448.527,461.5839269617499,True
2017-08-13,458.221,474.0018420406876,True
2017-08-14,493.536,504.46084986848217,True
2017-08-15,493.766,499.498263353231,True
2017-08-16,508.802,518.0559773903258,True
2017-08-17,496.803,510.1453665376946,True
2017-08-18,538.979,507.0542176242104,True
2017-08-19,500.253,485.41431517816625,True
2017-08-20,466.794,467.05221494678597,True
2017-08-21,526.506,510.0708095362854,True
2017-08-22,573.93,524.6339105951179,True
2017-08-23,511.25,504.1759768788889,True
2017-08-24,461.253,491.90649866491174,True
2017-08-25,442.915,476.84769522274826,True
2017-08-26,398.548,442.8530095038493,True
2017-08-27,386.717,432.9915305800801,True
2017-08-28,429.249,465.4459644491806,True
2017-08-29,419.98,458.1274622355467,True
2017-08-30,422.953,470.9907553212041,True
2017-08-31,440.827,475.81734098875626,True
2017-09-01,398.364,449.9422809528053,True
2017-09-02,358.607,414.1005514504787,True
2017-09-03,360.913,405.0902962789076,True
2017-09-04,386.135,458.031787401826,True
2017-09-05,469.786,480.24391950010676,True
2017-09-06,441.938,448.4961446599925,True
2017-09-07,414.107,445.0572631155624,True
2017-09-08,400.649,437.10991290961545,True
2017-09-09,362.931,405.0545691313568,True
2017-09-10,358.299,400.22046983537024,True
2017-09-11,404.666,441.03578111894075,True
2017-09-12,422.191,452.4248550057437,True
2017-09-13,441.964,456.65616811028286,True
2017-09-14,474.379,465.8355119537638,True
2017-09-15,480.253,457.8997415385406,True
2017-09-16,450.275,425.8436617694973,True
2017-09-17,439.23,414.6916297052054,True
2017-09-18,473.509,443.081971146944,True
2017-09-19,470.827,453.6954026523347,True
2017-09-20,471.355,462.0521131389723,True
2017-09-21,472.406,462.0621969901466,True
2017-09-22,450.513,450.9954428246634,True
2017-09-23,437.271,429.2977450202671,True
2017-09-24,468.29,426.68040084586454,True
2017-09-25,530.323,456.92786077149134,True
2017-09-26,520.277,448.6683392069308,True
2017-09-27,532.809,457.2100698896977,True
2017-09-28,468.061,438.5514755742835,True
2017-09-29,399.176,408.03335737944496,True
2017-09-30,362.754,375.00802188113784,True
2017-10-01,349.525,371.5035318477742,True
2017-10-02,390.7,406.34864890471715,True
2017-10-03,397.247,404.1434761842264,True
2017-10-04,407.612,412.79685972850683,True
