ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2016-10-28,76.192,19.904166666666665,0.0,117.7,Working Day,True,78.51128594853168,78.06397906962732
2016-10-29,69.848,20.775,4.200000000000001,139.2,Non-Working Day,True,73.1452336785139,72.36638219329534
2016-10-30,66.693,17.916666666666668,0.4000000000000003,69.99999999999999,Non-Working Day,True,64.94482442561397,65.05044090653465
2016-10-31,72.447,15.533333333333331,33.4,32.8,Working Day,True,70.39956020555472,72.6857470968934
2016-11-01,73.235,15.49861111111111,34.95,34.71666666666667,Working Day,True,70.75357810625219,72.6857470968934
2016-11-02,74.827,19.97083333333333,40.0,150.3,Working Day,True,85.54409842526758,78.28010622894638
2016-11-03,79.107,24.3625,0.0,224.7,Working Day,True,91.85670103787714,92.51748284908726
2016-11-04,78.415,20.904166666666665,1.200000000000001,141.7,Working Day,True,81.59365486663667,81.30588645941273
2016-11-05,70.542,19.629166666666663,15.299999999999995,120.0,Non-Working Day,True,71.79992636235207,68.93898150193922
2016-11-06,70.275,17.669444444444444,22.43333333333333,77.69999999999999,Non-Working Day,True,67.51075723532963,65.05044090653465
2016-11-07,76.744,19.808333333333334,17.099999999999994,125.5,Working Day,True,80.75244749078703,77.75329627810623
2016-11-08,81.491,24.047916666666666,1.4000000000000004,217.15,Working Day,True,91.01887748819372,91.49763281605061
2016-11-09,87.098,24.925,0.0,238.2,Working Day,True,93.54046836223381,94.34105575584155
2016-11-10,85.884,23.354166666666668,0.8000000000000007,200.5,Working Day,True,88.8977287285295,89.248559564387
2016-11-11,80.471,21.5625,8.299999999999999,161.4,Non-Working Day,True,75.99642571486937,74.72194121390008
2016-11-12,72.341,20.45,4.4,130.79999999999998,Non-Working Day,True,72.20040340077954,71.39424672447434
2016-11-13,71.212,21.275,12.099999999999998,157.3,Non-Working Day,True,75.81853459172817,73.86197522225073
2016-11-14,81.358,21.691666666666663,7.799999999999999,164.0,Working Day,True,84.86451536199729,83.85888852886873
2016-11-15,76.872,18.52083333333333,20.2,96.3,Working Day,True,77.34045016023762,73.5793405137575
2016-11-16,74.526,15.366666666666667,34.5,31.1,Working Day,True,70.26911796661369,72.6857470968934
2016-11-17,73.964,15.4125,42.6,41.1,Working Day,True,72.11713532662131,72.6857470968934
2016-11-18,74.116,16.29583333333333,51.3,69.39999999999999,Working Day,True,76.29209523038121,72.6857470968934
2016-11-19,67.466,14.625,74.0,50.6,Non-Working Day,True,68.35864777357243,65.52318736290562
2016-11-20,65.814,13.267708333333331,68.275,6.699999999999999,Non-Working Day,True,62.902781295992824,66.46018092717688
2016-11-21,72.638,14.71527777777778,42.23333333333333,20.6,Working Day,True,69.53310755690187,72.6857470968934
2016-11-22,73.36,13.835416666666667,72.65,29.3,Working Day,True,72.87422614225828,72.6857470968934
2016-11-23,73.118,14.339583333333332,72.6,41.35,Working Day,True,74.37343585088202,72.6857470968934
2016-11-24,65.804,15.891666666666666,56.0,65.0,Non-Working Day,True,68.62737605926803,65.05044090653465
2016-11-25,66.952,14.916666666666666,74.1,57.1,Working Day,True,76.44908704502565,72.6857470968934
2016-11-26,67.354,9.894791666666666,146.525,0.3000000000000007,Non-Working Day,True,68.15830434732814,68.78864229410729
2016-11-27,67.01,12.058333333333332,94.8,2.8000000000000025,Non-Working Day,True,64.48648238899088,67.29506160877237
2016-11-28,75.085,11.75,102.9,5.100000000000001,Working Day,True,72.09957962058314,74.53506168198312
2016-11-29,75.186,12.666666666666666,93.1,20.1,Working Day,True,73.24355978489298,73.58259054382502
2016-11-30,76.212,11.7375,114.1,17.799999999999997,Working Day,True,74.51427947574342,74.54804992477618
2016-12-01,76.056,12.375,92.6,10.6,Working Day,True,72.02160115510318,73.88564954232987
2016-12-02,75.878,13.908333333333331,50.5,5.100000000000003,Working Day,True,68.21303730227957,72.6857470968934
2016-12-03,71.591,13.354166666666666,75.4,18.9,Non-Working Day,True,64.84240663694504,66.40049522814809
2016-12-04,68.488,14.045833333333334,86.0,49.7,Non-Working Day,True,69.17391868367565,65.92300963591775
2016-12-05,74.097,11.982638888888888,104.11666666666667,13.300000000000002,Working Day,True,73.21255332924545,74.2933360522233
2016-12-06,74.283,13.038194444444445,71.98333333333333,5.100000000000001,Working Day,True,69.80647020568075,73.19655110525336
2016-12-07,74.898,11.702777777777778,104.63333333333333,5.699999999999999,Working Day,True,72.30297619243228,74.58412837697914
2016-12-08,75.498,13.2875,78.7,21.2,Working Day,True,72.3126982099675,72.93750781843612
2016-12-09,75.116,13.054166666666667,78.0,12.9,Working Day,True,71.22557365580128,73.17995501724
2016-12-10,68.923,13.497222222222222,67.36666666666667,15.1,Non-Working Day,True,63.793415676120645,66.30173816790767
2016-12-11,66.907,15.419791666666669,21.125,17.500000000000004,Non-Working Day,True,60.529703574556294,65.05044090653465
2016-12-12,73.517,14.406944444444443,44.3,11.816666666666665,Working Day,True,68.59090545371168,72.6857470968934
2016-12-13,73.782,14.044791666666669,53.025,11.1,Working Day,True,69.14865923902387,72.6857470968934
2016-12-14,74.464,14.420833333333334,67.9,39.6,Working Day,True,73.80656763807474,72.6857470968934
2016-12-15,75.75,13.877083333333331,60.650000000000006,17.300000000000004,Working Day,True,70.48749621700996,72.6857470968934
2016-12-16,74.73,12.931805555555556,73.73666666666666,1.8000000000000007,Working Day,True,69.52492851914766,73.30709548280322
2016-12-17,70.966,9.791666666666666,149.0,0.0,Non-Working Day,True,68.31338073780964,68.8598336700573
2016-12-18,71.052,9.858333333333333,151.8,9.4,Non-Working Day,True,69.60204808768988,68.81381096237246
2016-12-19,78.356,11.204166666666666,131.3,22.2,Working Day,True,76.33879816476485,75.10221495061363
2016-12-20,78.284,14.679166666666667,81.0,63.3,Working Day,True,77.7341502981879,72.6857470968934
2016-12-21,75.616,14.683333333333332,38.85,17.85,Working Day,True,68.93917386757714,72.6857470968934
2016-12-22,75.322,12.861111111111112,81.93333333333334,11.2,Working Day,True,71.30528160582705,73.38055121148845
2016-12-23,74.478,11.968472222222225,96.75666666666667,0.0,Working Day,True,71.00783468570955,74.3080560607221
2016-12-24,69.852,9.6125,153.3,0.0,Non-Working Day,True,68.6423817162211,68.98351969696034
2016-12-25,68.676,7.85,195.6,0.0,Non-Working Day,True,71.87883320152446,70.20024503137859
2016-12-26,72.152,9.025,167.4,0.0,Non-Working Day,True,69.72119887798888,69.38909480843309
2016-12-27,76.256,11.3625,129.1,24.39999999999999,Working Day,True,76.45001443603743,74.93769720856814
2016-12-28,74.015,14.345833333333331,82.89999999999999,53.2,Working Day,True,76.61536713692405,72.6857470968934
2016-12-29,72.815,16.479166666666668,45.4,71.1,Working Day,True,76.06651832566084,72.6857470968934
2016-12-30,71.652,14.04375,48.55,6.800000000000001,Working Day,True,68.28043448453056,72.6857470968934
2016-12-31,69.268,10.554166666666667,130.7,0.0,Non-Working Day,True,66.91321378317485,68.33344895091182
2017-01-01,66.94,8.980555555555556,168.46666666666667,0.0,Non-Working Day,True,69.80281152379638,69.41977661355632
2017-01-02,70.779,10.564583333333331,130.45,0.0,Non-Working Day,True,66.89408581931373,68.32625790283606
2017-01-03,75.469,10.29375,136.95,0.0,Working Day,True,73.98900054284087,76.0481919673752
2017-01-04,74.983,11.409791666666663,110.165,0.0,Working Day,True,72.00233955055536,74.88855835666772
